trades,start,end,net_pnl_total,CAGR,vol_annualized,Sharpe,MaxDD,hit_rate,z_enter,z_exit,z_stop,max_hold,latency_days,fee_bps,slippage_bps,notional,z_window,spread_scale
15,2023-12-05,2025-05-09,-55159.71258085626,0.0,157.8286848150041,0.6954292925501776,-2.0228307690435288,0.1333333333333333,3.0,0.5,3.0,15,1,1.0,1.0,250000.0,60,auto
15,2023-12-06,2025-05-12,-62572.76829389047,0.0,0.7764851862896923,-0.956097810633274,-1.0485140473848584,0.1333333333333333,3.0,0.5,3.0,15,2,1.0,1.0,250000.0,60,auto
13,2023-12-07,2025-04-17,-41246.800209475856,0.0,1.252460957493322,-1.0609722127738397,-1.1646510949304516,0.0769230769230769,3.0,0.5,3.5,3,1,1.0,1.0,250000.0,60,auto
13,2023-12-08,2025-04-22,-36336.10608132914,-0.7234620853256122,0.5569307866556125,-1.1002199237436678,-0.8414555898952412,0.1538461538461538,3.0,0.5,3.5,3,2,1.0,1.0,250000.0,60,auto
12,2023-12-11,2025-04-17,-43911.96132141042,0.0,1.1155251119692144,-1.1002674823056553,-1.1352163340042818,0.0833333333333333,3.0,0.5,3.5,5,1,1.0,1.0,250000.0,60,auto
12,2023-12-12,2025-04-22,-36777.47531648859,-0.4668271292174766,0.3418647295221809,-1.0187622155219225,-0.5788266156609774,0.25,3.0,0.5,3.5,5,2,1.0,1.0,250000.0,60,auto
12,2023-12-18,2025-04-28,-73668.04012815349,0.0,5.389171841143188,-0.5334589243892264,-2.2455385748944336,0.0,3.0,0.5,3.5,10,1,1.0,1.0,250000.0,60,auto
12,2023-12-19,2025-04-29,-61983.60199543364,-0.7999924357183663,0.613571899804618,-0.9334687340825092,-0.8880753903056259,0.0,3.0,0.5,3.5,10,2,1.0,1.0,250000.0,60,auto
12,2023-12-21,2025-05-07,-92341.6924165742,0.0,14.259876186717074,0.7338969689267403,-4.532228607510845,0.0,3.0,0.5,3.5,15,1,1.0,1.0,250000.0,60,auto
12,2023-12-22,2025-05-08,-80873.4884924198,0.0,2.3183201159210145,-0.9338913831687532,-1.6166479840764665,0.0,3.0,0.5,3.5,15,2,1.0,1.0,250000.0,60,auto
13,2023-12-07,2025-04-17,-41246.800209475856,0.0,1.252460957493322,-1.0609722127738397,-1.1646510949304516,0.0769230769230769,3.0,0.5,4.0,3,1,1.0,1.0,250000.0,60,auto
13,2023-12-08,2025-04-22,-36336.10608132914,-0.7234620853256122,0.5569307866556125,-1.1002199237436678,-0.8414555898952412,0.1538461538461538,3.0,0.5,4.0,3,2,1.0,1.0,250000.0,60,auto
12,2023-12-11,2025-04-17,-43911.96132141042,0.0,1.1155251119692144,-1.1002674823056553,-1.1352163340042818,0.0833333333333333,3.0,0.5,4.0,5,1,1.0,1.0,250000.0,60,auto
12,2023-12-12,2025-04-22,-36777.47531648859,-0.4668271292174766,0.3418647295221809,-1.0187622155219225,-0.5788266156609774,0.25,3.0,0.5,4.0,5,2,1.0,1.0,250000.0,60,auto
