Date,IUSA.DE
2024-07-18,50.084835052490234
2024-07-19,49.78680419921875
2024-07-22,49.99799728393555
2024-07-23,50.552608489990234
2024-07-24,49.49666976928711
2024-07-25,49.350616455078125
2024-07-26,49.32890701293945
2024-07-29,49.49666976928711
2024-07-30,49.43548583984375
2024-07-31,50.205230712890625
2024-08-01,49.89930725097656
2024-08-02,47.898948669433594
2024-08-05,46.82229232788086
2024-08-06,47.242698669433594
2024-08-07,47.8130989074707
2024-08-08,47.741058349609375
2024-08-09,47.94830322265625
2024-08-12,48.06079864501953
2024-08-13,48.521663665771484
2024-08-14,48.653892517089844
2024-08-15,49.51838684082031
2024-08-16,49.579566955566406
2024-08-19,49.61509323120117
2024-08-20,49.58351516723633
2024-08-21,49.56575393676758
2024-08-22,49.6506233215332
