date,pair,spread_pct
2024-03-21 00:00:00+00:00,CSP1_L_IUSA_DE,92010.667
2024-03-22 00:00:00+00:00,CSP1_L_IUSA_DE,91995.197
2024-03-25 00:00:00+00:00,CSP1_L_IUSA_DE,91911.158
2024-03-26 00:00:00+00:00,CSP1_L_IUSA_DE,91988.93
2024-03-27 00:00:00+00:00,CSP1_L_IUSA_DE,91876.719
2024-03-28 00:00:00+00:00,CSP1_L_IUSA_DE,91661.669
2024-04-02 00:00:00+00:00,CSP1_L_IUSA_DE,91817.714
2024-04-03 00:00:00+00:00,CSP1_L_IUSA_DE,91962.843
2024-04-04 00:00:00+00:00,CSP1_L_IUSA_DE,91965.698
2024-04-05 00:00:00+00:00,CSP1_L_IUSA_DE,91976.354
2024-04-08 00:00:00+00:00,CSP1_L_IUSA_DE,92019.887
2024-04-09 00:00:00+00:00,CSP1_L_IUSA_DE,91897.629
2024-04-10 00:00:00+00:00,CSP1_L_IUSA_DE,91807.794
2024-04-11 00:00:00+00:00,CSP1_L_IUSA_DE,91691.266
2024-04-12 00:00:00+00:00,CSP1_L_IUSA_DE,91689.735
2024-04-15 00:00:00+00:00,CSP1_L_IUSA_DE,91503.239
2024-04-16 00:00:00+00:00,CSP1_L_IUSA_DE,91670.082
2024-04-17 00:00:00+00:00,CSP1_L_IUSA_DE,91665.672
2024-04-18 00:00:00+00:00,CSP1_L_IUSA_DE,91795.36
2024-04-19 00:00:00+00:00,CSP1_L_IUSA_DE,92172.526
2024-04-22 00:00:00+00:00,CSP1_L_IUSA_DE,92510.169
2024-04-23 00:00:00+00:00,CSP1_L_IUSA_DE,92222.759
2024-04-24 00:00:00+00:00,CSP1_L_IUSA_DE,92211.05
2024-04-25 00:00:00+00:00,CSP1_L_IUSA_DE,92017.986
2024-04-26 00:00:00+00:00,CSP1_L_IUSA_DE,91984.549
2024-04-29 00:00:00+00:00,CSP1_L_IUSA_DE,91570.237
2024-04-30 00:00:00+00:00,CSP1_L_IUSA_DE,91561.509
2024-05-02 00:00:00+00:00,CSP1_L_IUSA_DE,91844.112
2024-05-03 00:00:00+00:00,CSP1_L_IUSA_DE,92027.531
2024-05-07 00:00:00+00:00,CSP1_L_IUSA_DE,92089.921
2024-05-08 00:00:00+00:00,CSP1_L_IUSA_DE,92279.101
2024-05-09 00:00:00+00:00,CSP1_L_IUSA_DE,92367.66
2024-05-10 00:00:00+00:00,CSP1_L_IUSA_DE,92338.772
2024-05-13 00:00:00+00:00,CSP1_L_IUSA_DE,92249.661
2024-05-14 00:00:00+00:00,CSP1_L_IUSA_DE,92198.793
2024-05-15 00:00:00+00:00,CSP1_L_IUSA_DE,92013.329
2024-05-16 00:00:00+00:00,CSP1_L_IUSA_DE,92017.437
2024-05-17 00:00:00+00:00,CSP1_L_IUSA_DE,91798.168
2024-05-20 00:00:00+00:00,CSP1_L_IUSA_DE,91662.061
2024-05-21 00:00:00+00:00,CSP1_L_IUSA_DE,91521.208
2024-05-22 00:00:00+00:00,CSP1_L_IUSA_DE,91334.913
2024-05-23 00:00:00+00:00,CSP1_L_IUSA_DE,91327.876
2024-05-24 00:00:00+00:00,CSP1_L_IUSA_DE,91375.949
2024-05-28 00:00:00+00:00,CSP1_L_IUSA_DE,91261.575
2024-05-29 00:00:00+00:00,CSP1_L_IUSA_DE,91193.039
2024-05-30 00:00:00+00:00,CSP1_L_IUSA_DE,91217.836
2024-05-31 00:00:00+00:00,CSP1_L_IUSA_DE,91424.2
2024-06-03 00:00:00+00:00,CSP1_L_IUSA_DE,91286.805
2024-06-04 00:00:00+00:00,CSP1_L_IUSA_DE,91291.148
2024-06-05 00:00:00+00:00,CSP1_L_IUSA_DE,91257.416
2024-06-06 00:00:00+00:00,CSP1_L_IUSA_DE,91305.522
2024-06-07 00:00:00+00:00,CSP1_L_IUSA_DE,91114.943
2024-06-10 00:00:00+00:00,CSP1_L_IUSA_DE,90584.23
2024-06-11 00:00:00+00:00,CSP1_L_IUSA_DE,90426.006
2024-06-12 00:00:00+00:00,CSP1_L_IUSA_DE,90642.874
2024-06-13 00:00:00+00:00,CSP1_L_IUSA_DE,90438.767
2024-06-14 00:00:00+00:00,CSP1_L_IUSA_DE,90457.441
