Date,EUNL.DE
2024-07-18,94.93599700927734
2024-07-19,94.33000183105469
2024-07-22,94.78399658203125
2024-07-23,95.67400360107422
2024-07-24,94.03800201416016
2024-07-25,93.552001953125
2024-07-26,93.72200012207031
2024-07-29,93.9219970703125
2024-07-30,93.96199798583984
2024-07-31,95.3740005493164
2024-08-01,94.38600158691406
2024-08-02,90.7040023803711
2024-08-05,88.63400268554688
2024-08-06,89.3280029296875
2024-08-07,90.66999816894531
2024-08-08,90.64399719238281
2024-08-09,91.00399780273438
2024-08-12,91.16799926757812
2024-08-13,92.0719985961914
2024-08-14,92.30599975585938
2024-08-15,93.91799926757812
2024-08-16,94.052001953125
2024-08-19,94.2959976196289
2024-08-20,94.10199737548828
2024-08-21,94.18399810791016
2024-08-22,94.3479995727539
2024-08-23,94.36599731445312
