Date,CSP1.L
2025-02-13,51551.0
2025-02-14,51486.0
2025-02-17,51595.0
2025-02-18,51508.0
2025-02-19,51752.5
2025-02-20,51268.0
2025-02-21,51111.0
2025-02-24,50578.0
2025-02-25,49682.0
2025-02-26,50218.0
2025-02-27,50131.5
2025-02-28,49578.5
2025-03-03,49615.0
2025-03-04,47987.5
2025-03-05,47477.0
2025-03-06,47711.0
2025-03-07,46807.0
2025-03-10,46585.0
2025-03-11,45738.0
2025-03-12,45962.0
2025-03-13,45435.0
2025-03-14,46162.5
2025-03-17,46208.5
2025-03-18,46001.0
2025-03-19,46382.0
2025-03-20,46485.0
2025-03-21,46460.0
2025-03-24,47402.0
2025-03-25,47321.0
2025-03-26,47271.0
2025-03-27,46881.0
2025-03-28,45912.0
2025-03-31,45729.0
2025-04-01,46335.0
2025-04-02,46372.5
2025-04-03,44175.0
2025-04-04,42625.0
2025-04-07,41650.0
2025-04-08,43012.5
2025-04-09,41584.5
2025-04-10,43062.0
2025-04-11,42808.0
2025-04-14,43613.0
2025-04-15,43600.0
2025-04-16,43156.0
2025-04-17,42502.0
2025-04-22,41897.0
2025-04-23,43254.0
2025-04-24,43567.0
2025-04-25,43812.0
2025-04-28,43632.5
2025-04-29,43895.0
2025-04-30,43974.0
2025-05-01,45255.0
2025-05-02,45385.0
2025-05-06,44853.0
2025-05-07,44712.0
2025-05-08,45474.0
2025-05-09,45312.0
2025-05-12,46765.5
2025-05-13,47258.0
2025-05-14,47201.0
2025-05-15,47283.0
2025-05-16,47567.0
2025-05-19,47324.0
2025-05-20,47384.5
2025-05-21,46986.0
2025-05-22,46308.5
2025-05-23,45737.0
2025-05-27,46491.0
2025-05-28,46736.0
2025-05-29,46756.0
2025-05-30,46592.0
2025-06-02,46356.5
2025-06-03,46983.0
2025-06-04,46969.5
2025-06-05,47025.0
2025-06-06,47197.0
2025-06-09,47193.0
2025-06-10,47408.0
2025-06-11,47588.0
2025-06-12,47314.0
2025-06-13,47150.0
2025-06-16,47384.0
2025-06-17,47420.0
2025-06-18,47552.0
2025-06-19,47027.0
2025-06-20,47362.0
2025-06-23,47271.0
2025-06-24,47612.0
2025-06-25,47675.0
2025-06-26,47554.0
2025-06-27,48024.5
2025-06-30,48148.0
2025-07-01,48184.0
2025-07-02,48684.0
2025-07-03,49028.0
2025-07-04,48785.0
2025-07-07,48786.0
2025-07-08,48920.0
2025-07-09,49017.5
2025-07-10,49394.0
2025-07-11,49432.0
2025-07-14,49641.0
2025-07-15,49944.0
2025-07-16,49256.0
2025-07-17,50021.0
2025-07-18,49981.0
2025-07-21,50040.0
2025-07-22,49731.5
2025-07-23,49797.0
2025-07-24,50259.0
2025-07-25,50655.0
2025-07-28,50875.0
2025-07-29,51000.0
2025-07-30,51174.5
2025-07-31,51500.0
2025-08-01,50174.0
2025-08-04,50669.0
2025-08-05,50526.5
2025-08-06,50700.0
2025-08-07,50417.0
2025-08-08,50563.0
2025-08-11,50819.0
2025-08-12,50764.0
2025-08-13,50758.0
2025-08-14,50863.0
2025-08-15,50775.0
2025-08-18,50877.0
2025-08-19,50873.0
2025-08-20,50587.0
2025-08-21,50801.0
2025-08-22,51098.0
2025-08-26,50999.0
2025-08-27,51368.0
2025-08-28,51227.0
2025-08-29,51022.0
2025-09-01,51029.0
2025-09-02,50875.5
2025-09-03,51117.0
2025-09-04,51479.0
2025-09-05,51077.0
2025-09-08,51340.5
2025-09-09,51285.0
2025-09-10,51566.5
2025-09-11,51839.5
2025-09-12,51925.5
2025-09-15,51953.0
2025-09-16,51736.0
2025-09-17,51632.0
2025-09-18,52407.0
2025-09-19,52614.0
2025-09-22,52838.0
2025-09-23,52884.5
2025-09-24,52835.0
2025-09-25,52954.0
2025-09-26,52796.0
2025-09-29,53013.0
2025-09-30,52886.0
2025-10-01,53058.0
2025-10-02,53388.0
2025-10-03,53473.0
2025-10-06,53464.0
2025-10-07,53407.0
2025-10-08,53812.0
2025-10-09,54066.0
2025-10-10,53102.0
2025-10-13,53344.0
2025-10-14,53252.0
2025-10-15,53474.0
2025-10-16,53250.0
2025-10-17,52773.0
2025-10-20,53619.0
2025-10-21,53866.0
2025-10-22,53616.0
2025-10-23,53975.0
2025-10-24,54693.0
