date,pair,A_ticker,A_price,B_ticker,B_price,fx_used,curA,curB,denom
2014-09-29,IWDA_AS_XDWD_DE,IWDA.AS,32.53499984741211,XDWD.DE,35.81999969482422,1.0,EUR,EUR,B
2014-09-30,IWDA_AS_XDWD_DE,IWDA.AS,32.22999954223633,XDWD.DE,35.4900016784668,1.0,EUR,EUR,B
2014-10-01,IWDA_AS_XDWD_DE,IWDA.AS,31.575000762939453,XDWD.DE,34.75,1.0,EUR,EUR,B
2014-10-05,IWDA_AS_XDWD_DE,IWDA.AS,32.2599983215332,XDWD.DE,35.540000915527344,1.0,EUR,EUR,B
2014-10-06,IWDA_AS_XDWD_DE,IWDA.AS,31.81999969482422,XDWD.DE,35.0,1.0,EUR,EUR,B
2014-10-07,IWDA_AS_XDWD_DE,IWDA.AS,31.485000610351562,XDWD.DE,34.68000030517578,1.0,EUR,EUR,B
2014-10-08,IWDA_AS_XDWD_DE,IWDA.AS,31.625,XDWD.DE,34.779998779296875,1.0,EUR,EUR,B
2014-10-09,IWDA_AS_XDWD_DE,IWDA.AS,31.149999618530273,XDWD.DE,34.290000915527344,1.0,EUR,EUR,B
2014-10-12,IWDA_AS_XDWD_DE,IWDA.AS,30.885000228881836,XDWD.DE,33.9900016784668,1.0,EUR,EUR,B
2014-10-13,IWDA_AS_XDWD_DE,IWDA.AS,30.78499984741211,XDWD.DE,33.95000076293945,1.0,EUR,EUR,B
2014-10-14,IWDA_AS_XDWD_DE,IWDA.AS,29.875,XDWD.DE,32.970001220703125,1.0,EUR,EUR,B
2014-10-15,IWDA_AS_XDWD_DE,IWDA.AS,30.014999389648438,XDWD.DE,33.119998931884766,1.0,EUR,EUR,B
2014-10-16,IWDA_AS_XDWD_DE,IWDA.AS,30.655000686645508,XDWD.DE,33.779998779296875,1.0,EUR,EUR,B
2014-10-19,IWDA_AS_XDWD_DE,IWDA.AS,30.579999923706055,XDWD.DE,33.689998626708984,1.0,EUR,EUR,B
2014-10-20,IWDA_AS_XDWD_DE,IWDA.AS,31.2450008392334,XDWD.DE,34.40999984741211,1.0,EUR,EUR,B
2014-10-21,IWDA_AS_XDWD_DE,IWDA.AS,31.625,XDWD.DE,34.79999923706055,1.0,EUR,EUR,B
2014-10-22,IWDA_AS_XDWD_DE,IWDA.AS,31.7549991607666,XDWD.DE,34.959999084472656,1.0,EUR,EUR,B
2014-10-23,IWDA_AS_XDWD_DE,IWDA.AS,31.704999923706055,XDWD.DE,34.88999938964844,1.0,EUR,EUR,B
2014-10-26,IWDA_AS_XDWD_DE,IWDA.AS,31.565000534057617,XDWD.DE,34.7599983215332,1.0,EUR,EUR,B
2014-10-27,IWDA_AS_XDWD_DE,IWDA.AS,31.7549991607666,XDWD.DE,34.939998626708984,1.0,EUR,EUR,B
2014-10-28,IWDA_AS_XDWD_DE,IWDA.AS,31.875,XDWD.DE,35.08000183105469,1.0,EUR,EUR,B
2014-10-29,IWDA_AS_XDWD_DE,IWDA.AS,32.244998931884766,XDWD.DE,35.459999084472656,1.0,EUR,EUR,B
2014-10-30,IWDA_AS_XDWD_DE,IWDA.AS,32.91999816894531,XDWD.DE,36.209999084472656,1.0,EUR,EUR,B
2014-11-02,IWDA_AS_XDWD_DE,IWDA.AS,33.0,XDWD.DE,36.220001220703125,1.0,EUR,EUR,B
2014-11-03,IWDA_AS_XDWD_DE,IWDA.AS,32.540000915527344,XDWD.DE,35.79999923706055,1.0,EUR,EUR,B
2014-11-04,IWDA_AS_XDWD_DE,IWDA.AS,32.959999084472656,XDWD.DE,36.22999954223633,1.0,EUR,EUR,B
2014-11-05,IWDA_AS_XDWD_DE,IWDA.AS,33.165000915527344,XDWD.DE,36.40999984741211,1.0,EUR,EUR,B
2014-11-06,IWDA_AS_XDWD_DE,IWDA.AS,33.21500015258789,XDWD.DE,36.45000076293945,1.0,EUR,EUR,B
