date,CSP1_L_IUSA_DE,SWDA_L_EUNL_DE,VWRL_L_VEVE_AS
2024-04-03 00:00:00+00:00,91962.82842270134,8471.64880176753,10.617365414623611
2024-04-04 00:00:00+00:00,91965.69049356926,8478.06449965816,10.847049874999849
2024-04-05 00:00:00+00:00,91976.36914306942,8477.697874999652,10.816133630161474
2024-04-08 00:00:00+00:00,92019.8872998185,8476.54931504606,10.839843783561044
2024-04-09 00:00:00+00:00,91897.60625008216,8467.184282999326,10.830862227362047
2024-04-10 00:00:00+00:00,91807.77886677948,8457.251106074575,10.691555037886811
2024-04-11 00:00:00+00:00,91691.26627220464,8451.904391795017,10.667610109459956
2024-04-12 00:00:00+00:00,91689.72761391876,8447.215438952166,10.465374221422683
2024-04-15 00:00:00+00:00,91503.23910812636,8436.262848603566,10.394274763522793
2024-04-16 00:00:00+00:00,91670.07466359508,8449.843979578556,10.49972693231318
2024-04-17 00:00:00+00:00,91665.66405149736,8449.88853559179,10.352361544296508
2024-04-18 00:00:00+00:00,91795.35975117984,8454.953249100074,10.57493992970644
2024-04-19 00:00:00+00:00,92172.5184920146,8494.830939579813,11.16881509330694
2024-04-22 00:00:00+00:00,92510.17710223094,8528.619234827293,11.609998217904115
2024-04-23 00:00:00+00:00,92222.76688282084,8496.778280301665,11.192605917984588
2024-04-24 00:00:00+00:00,92211.0579796576,8499.368037218359,11.265637914213864
2024-04-25 00:00:00+00:00,92017.99342258372,8478.42600461165,11.315128940953636
2024-04-26 00:00:00+00:00,91984.54870997425,8468.660557192849,10.976872097975466
2024-04-29 00:00:00+00:00,91570.2369709576,8439.844040173359,10.63258424243263
2024-04-30 00:00:00+00:00,91561.50142892072,8432.41974106766,10.596736494353332
2024-05-02 00:00:00+00:00,91844.112035915,8461.143044496648,11.024247288016252
2024-05-03 00:00:00+00:00,92027.5458317067,8482.26421533189,11.403590029684452
2024-05-07 00:00:00+00:00,92089.92887521585,8487.51355021621,11.281859989527064
2024-05-08 00:00:00+00:00,92279.11637878184,8504.04267138388,11.329045753866197
2024-05-09 00:00:00+00:00,92367.65233920196,8512.025513016933,11.430389762231076
2024-05-10 00:00:00+00:00,92338.77969211777,8506.019792403631,11.416055091983267
2024-05-13 00:00:00+00:00,92249.65347998096,8497.805093264446,11.412946061905435
2024-05-14 00:00:00+00:00,92198.78547125666,8493.030699576002,11.348883475737148
2024-05-15 00:00:00+00:00,92013.32881916604,8480.814769782368,11.26925413340958
2024-05-16 00:00:00+00:00,92017.43714847276,8480.747038802458,11.235014564936163
2024-05-17 00:00:00+00:00,91798.16041056452,8460.027924841828,10.96290146243053
2024-05-20 00:00:00+00:00,91662.06096955643,8448.08015317507,10.7918395751188
2024-05-21 00:00:00+00:00,91521.20758074832,8437.192946261132,10.592471549184946
2024-05-22 00:00:00+00:00,91334.91320805176,8416.697748069539,10.294006518966947
2024-05-23 00:00:00+00:00,91327.86201329216,8415.359323781271,10.305878566753512
2024-05-24 00:00:00+00:00,91375.9346605856,8419.492084408112,10.312481362105096
2024-05-28 00:00:00+00:00,91261.56738227545,8410.89324542767,10.221029115787085
2024-05-29 00:00:00+00:00,91193.03154024344,8406.455127370737,10.087284249615646
2024-05-30 00:00:00+00:00,91217.83590794288,8409.961875603898,10.14431811769294
2024-05-31 00:00:00+00:00,91424.18484787086,8422.364236112806,10.22302245225264
2024-06-03 00:00:00+00:00,91286.79783529704,8407.07744897908,10.23346432413408
2024-06-04 00:00:00+00:00,91291.14776105277,8411.618373927706,9.932873993747137
2024-06-05 00:00:00+00:00,91257.42349101068,8408.355358427083,10.034789074424456
2024-06-06 00:00:00+00:00,91305.5223309004,8410.293510259822,10.150651637216912
2024-06-07 00:00:00+00:00,91114.95036413638,8392.350136685942,9.81952997142297
2024-06-10 00:00:00+00:00,90584.2298235857,8341.058305008582,9.152673138787804
2024-06-11 00:00:00+00:00,90425.9916870213,8336.964089826633,9.085925912700365
2024-06-12 00:00:00+00:00,90642.8736015904,8350.944760975935,9.17936375725743
2024-06-13 00:00:00+00:00,90438.760272948,8333.208530500335,8.961545454907416
2024-06-14 00:00:00+00:00,90457.4414466401,8334.682501001489,9.04696176603803
2024-06-17 00:00:00+00:00,90644.71990649802,8350.614720346217,9.223025330371204
2024-06-18 00:00:00+00:00,90733.19984851044,8360.156169557038,9.429146212088105
2024-06-19 00:00:00+00:00,90527.54678935993,8343.121640877216,9.23452184294298
2024-06-20 00:00:00+00:00,90700.96975598331,8357.39763783317,9.325793122819292
2024-06-21 00:00:00+00:00,90747.27953080728,8357.999848838412,9.443854620995197
2024-06-24 00:00:00+00:00,90687.27907288508,8353.404090160311,9.322443395778524
2024-06-25 00:00:00+00:00,90610.79455351378,8348.417482571702,9.191162926516917
2024-06-26 00:00:00+00:00,90763.98834681,8357.176731560507,9.422340440107124
2024-06-27 00:00:00+00:00,90841.07029354664,8365.011112284288,9.4117818860334
2024-06-28 00:00:00+00:00,90949.73074637025,8380.238957010934,9.630475375188862
2024-07-01 00:00:00+00:00,90982.81455015294,8384.586025909506,9.604381831619024
2024-07-02 00:00:00+00:00,90809.08934990969,8364.620737117122,9.421338251935609
2024-07-03 00:00:00+00:00,90784.6621175077,8360.923638422733,9.469194042949637
2024-07-04 00:00:00+00:00,90840.5438373663,8371.321848011099,9.57427765215002
2024-07-05 00:00:00+00:00,90658.1160295742,8355.19617363352,9.251517590841395
2024-07-08 00:00:00+00:00,90593.69982475674,8345.365547183452,9.184580082890715
2024-07-09 00:00:00+00:00,90662.19556013389,8354.090798613619,9.36853615102513
2024-07-10 00:00:00+00:00,90389.82380301524,8331.400858555153,8.980904864693562
2024-07-11 00:00:00+00:00,90267.4426929424,8315.046454914833,8.876878022604707
2024-07-12 00:00:00+00:00,90081.4917597748,8296.993950190534,8.635321212901847
2024-07-15 00:00:00+00:00,90124.75456385018,8302.864205804262,8.70123000201195
2024-07-16 00:00:00+00:00,90069.8598509049,8301.044779836915,8.509634130478204
2024-07-17 00:00:00+00:00,90139.88565025816,8305.420684571285,8.648789823580705
2024-07-18 00:00:00+00:00,90197.79164212575,8311.456403854525,8.679512189968142
2024-07-19 00:00:00+00:00,90404.89838072233,8331.03980242028,8.935309073377407
2024-07-22 00:00:00+00:00,90371.63068220051,8325.47295744011,8.872646673155348
2024-07-23 00:00:00+00:00,90150.54256462128,8307.717558826695,8.609940380881675
2024-07-24 00:00:00+00:00,90076.7739285278,8301.922447065894,8.528719927580442
2024-07-25 00:00:00+00:00,90439.90945482044,8329.001876358665,8.904945277311406
2024-07-26 00:00:00+00:00,90599.36102206774,8343.054981427558,9.143908830944516
